rating,sentiment,comment_clean,sentiment_encoded
2,negatif,"bonjour bonsoir est ce que l administration la direction est au courant de la condition insalubre et l état détérioré et dégoutant des douches des vestiaires pour hommes? si non, c est très grave si oui, c est encore pire je suis pas un expert, mais un petit coup de maintenance ne peut pas être aussi compliqué. . démonter les séparations en bois ( heures worker) . un bon coup de nettoyage en kärcher en appliquant des produits de désinfection et nettoyant mir et par terre (allez heures max worker) . démonter les douches et les remplacer par des nouvelles ( heures max worker) . monter la nouvelle séparation. peut être pas en bois cette fois ci pour éviter les moisissures ? ;) ( heures max worker) en total, pour un seul vestiaire, ça coûtera heures par travailleur. en embauchant travailleurs cela nous mène à heures chaque, travailleurs vous coûtera heures chaque. quant au financement, je pense pas que c est la mer à boire pour un gym de cette renommée, surtout en voyant le prix des abos ;) vive le sport mais surtout vive la propreté et l hygiène! cordialement",0
1,negatif,un grand flop. on fait un abonnement annuel avec prélèvement bancaire automatique et on ne peut résilier le contrat qu avec une lettre recommandée. on est en comme même. c est pour ça califonia gym n est plus numéro,0
5,positif,très beau gym. personnel très gentil.,2
1,negatif,"la moitié des machines est défectueuse ! aucune maintenance, absence totale d entretien fuite de toiture",0
5,positif,grande salle de sport. la piscine est très propre et fait environ mètres.,2
3,neutre,"california gym est une bonne salle, notamment pour la diversité du matériel et la possibilité d accéder à plusieurs salles en même temps, ce qui est vraiment génial. cependant, j ai un problème avec les coachs. ils ne sont pas très disponibles ni chaleureux, et manquent parfois de professionnalisme. leur intervention semble être payante, ce qui peut être compréhensible, mais cela ne justifie pas leur attitude distante. en tant que client, j aurais aimé un accueil plus chaleureux et un engagement plus professionnel de leur part. bien que les coachs puissent apporter de l aide et des conseils, ils évitent souvent de regarder ou d interagir avec les clients, ce qui est dommage. à mon avis, c est le seul point négatif dans ces salles de sport.",1
1,negatif,"j ai le malheur de m inscrire dans cette( salle de sport )!! douche avec présence de moisissures, énormément d abonnés pour très peu de matériel climatisation qui vous fuit sur la tête hygiène douteuse dans l ensemble . pour dt je trouve ça vraiment irrespectueux a fuir absolument !!!",0
1,negatif,une pure arnaque... je m y étais inscrit pour me détendre et me remettre en forme. abonnement de mois à dinars. j y suis allé deux fois. pourquoi ? tous simplement qu à h on doit faire entre et minutes d attente entre les machines... tu parles d une détente. je déconseille vivement.,0
5,positif,"un grand bravo pour les clubs california gym et une mention spéciale pour california gym lac . l ambiance est magnifique, tous les employés sont très aimables sans exception. les coachs des plateaux ainsi que les coachs des cours sont très compétents . je viens de remercier le responsable malek pour son professionnalisme de gestion du club. sans oublier la femme de ménages fatouma qui est en train de faire un grand effort pour la propreté de la salle. bravo et bonne continuation.",2
3,neutre,une séance d essai à dt c est du vol. surtout pour que ce soit plein à h et qu il manque un rack à squat. je comprends pas comment une salle avec une telle superficie puisse avoir aussi peu de machines.,1
