text_clean,label
"répondent jamais téléphone _exclamation_ allé magasin pendant heures ouverture fermés _exclamation_ laissé mot porte, personne rappelé. gestion vraiment déplorable service client catastrophique _exclamation_",0
vraiment trop bruyant entend tout quartier autre côté rue normal salle équipée système insonorisation correct. bref voisinage désespéré.,0
_emoji_pas_ok_,0
"cette salle sport ambiance très désagréable cause clientèle peu recommandable. toujours bondée, dehors heures pointe. machines mal agencées certaines restent hors service pendant longues périodes. vestiaires femmes dégagent constamment odeur nauséabonde, rend expérience encore plus pénible.",0
nombre inscriptions dépasse loin capacités salles coures prix fixes non négociables,0
"vacances marsa mari habitons paris choisi california gym faire sport. expérience très décevante. dès entrée, coach maigre, lunettes fixait très souvent faisait remarques inutiles, gênant. plus, disques posés manière très mal sécurisée supports. disque 20 kg tombé pied fracturé orteil. machines vieilles nécessitent toutes ajouter soi poids, rend entraînement peu pratique dangereux. déconseille vivement cette salle toute personne cherche lieu sérieux, moderne sécurisé entraîner.",0
fait larguer quand ici,0
"machines gym techno, tellement vieux, sale souvent panne. variété machines. douches propres. rapport prix, ça vaut vraiment coup.",0
"vraiment dommage coachs cette salle si mauvais ignorent plupart gens, sauf prennent cours particuliers. endroit grand bien équipé principalement marque technogym communication laisse désirer. horaire recommandé avant 17 h, car beaucoup monde plus tard. accueil légèrement amélioré rapport avant vrai bazar équipements multitude machines spécialisées chaque groupe musculaire, haltères, appareils cardio, machines câbles poids, etc. salles entraînement espace cardio musculation, espace rpm, salles cours dont salle crossfit, petit espace entraînement libre. coachs coachs cours collectifs excellents, ceux salle musculation cardio nuls sourcillent si quelqu fait mauvais exercice risque blesser arrive utiliser machine. dommage, car plupart nouveaux membres comptent faire visiter salle montrer comment utiliser machines. or, coachs généralement disponibles, sauf séances coaching privées. emplacement parking centre commercial dispose parking, frais stationnement inclus abonnement salle sport.",0
pourras jamais bénéficier droit sauna chaque fois nouvelle objection 21h ferme 22h ça prendra 30 minutes marche ect ect bah laisse ouvert donc _exclamation_ devrais réserver sauna quoi _exclamation_ ça tête veux just reposer après bonne séance tjiw etayroulou kifoi aabd _exclamation_,0
"malheur inscrire cette salle sport _exclamation_ _exclamation_ douche présence moisissures, énormément abonnés très peu matériel climatisation fuit tête hygiène douteuse ensemble 220 dt trouve ça vraiment irrespectueux fuir absolument _exclamation_ _exclamation_ _exclamation_",0
"ascenseur toujours panne _exclamation_ piscine sale. sinon, tout va bien.",0
nombre machines très limité insuffisant tous membres.,0
"bonjour bonsoir administration direction courant condition insalubre état détérioré dégoutant douches vestiaires hommes _question_ si non, très grave si oui, encore pire expert, petit coup maintenance peut être aussi compliqué. 1. démonter séparations bois heures worker 2. bon coup nettoyage kärcher appliquant produits désinfection nettoyant mir terre allez heures max worker 3. démonter douches remplacer nouvelles heures max worker 4. monter nouvelle séparation. peut être bois cette fois ci éviter moisissures _question_ heures max worker total, seul vestiaire, ça coûtera 24 heures travailleur. embauchant travailleurs cela mène 12 heures chaque, travailleurs coûtera heures chaque. quant financement, pense mer boire gym cette renommée, surtout voyant prix abos vive sport surtout vive propreté hygiène _exclamation_ cordialement",0
"très cher, pourquoi obligent gens abonner plus salle _question_ faut abonnement seule salle",0
réceptionniste catastrophe _exclamation_ _exclamation_ 3inha besh tfaser 9al9a t7esha motivation kont de5el netrena batalt hhhhh,0
douche très chaude sachant faisait 34 dehors malgré réclamé mal fois depuis mois presque,0
"salle sport vraiment trop chère réceptionniste prétentieuse femme yeux verts bombardait offres acheter cadenas chez nous, acheter serviette croirait vendeuse. équipements tellement proches uns autres parfois, si quelqu utilise certaines machines, faut attendre fini utiliser machine côté dommage seule salle sport coin.",0
"trop bondé très cher propose. plus précisément, assez poids libres. probablement intéressant uniquement ceux souhaitent suivre séances entraînement groupe utiliser machines. manière générale, aménagement médiocre compte tenu agencement.",0
"40 degré climatiseur salle compatible telle salle prestigieuse, ça répète kol youm",0
plus pire salle sports termes musculation,0
"beaucoup trop monde. venez jamais après midi soir. si salle sport compétitive, recommande ouvrir côté celle ci. toujours salle complète.",0
ça vaut prix,0
donc bondé. devez attendre machine. très mauvaise expérience entraîneurs. vois meilleur celui platine où obtenez réel respect vrai traitement.,0
"remettrai plus jamais pieds là dedans. faire voler vêtements casier fermé clé et, cerise gâteau, devoir affronter gérant impoli inconsidéré recommande absolument pas.",0
"très mauvais service, vaut payez",0
"personnel adorable, entraîneurs compétents cours qualité. gestion très mauvaise, prix exorbitants espace très limité. club bondé mal entretenu prix. peut reprocher certains clients nettoyer après passage, vestiaires souvent désordre rarement nettoyés. autres centres loisirs certainement meilleurs, celui ci perd plus plus clients.",0
"salle trop petite, prix trop elevés 20dt seance _exclamation_ staff désagreable impoli. deconseille vivement mettre pieds.",0
pire expérience personnelles accueille partagent fausses informations juste gens payent abonnement première objectif.. pauvre personnelles,0
"ferme 15 heures dimanche 18 heures samedi, peut faire bon entraînement week end quand gens généralement libres, tellement stupide quelqu doit réparer cette merde",0
vestiaires très petits. eau piscine trop chaude. sauna lumière. hammam froid.,0
personnel impoli,0
"trop cher, ça vaut coup tout.",0
atroce. capitalisme toute puissance _exclamation_ _exclamation_,0
veuillez régler escalateur panne depuis plus mois trouver solution fuite eau partout système climatisation _exclamation_,0
"petit achalandé. gérant agréable. difficile plutôt sauvage, être aise si petit gym... réflexion faites, donné mauvais horaire lors inscription sans mentionner coupures lors ramadan cela incompatible horaire tout sale, utilisateurs nettoient leurs machines yeark _exclamation_ yoga donne beat hip hop, dance. bref moi. parlé connaissance cadre, cette dernière sauvé conversation. service client déjà entendu parlé _question_",0
"trouvé place parking, attitude personnel mauvaise. hobestly entraîné décidé aller salle sport menzah proximité.",0
"california gym marsa, salle sport insalubre _exclamation_ eau chaude douches femmes, odeur nauséabonde égouts, moisissures partout, équipements délabrés, 11 casiers 24 cassés non fonctionnels, fils électriques sortent partout danger vie utilisateurs, chay y7achem yradded _exclamation_ _exclamation_ الحيوط يتزلبطو تقول في حمام قديم",0
"service client défavorable 21 septembre 2021, lac1, tunis, tunisie séjourne temporairement région lac1 tunisie, plus chics pays, quartier affaires quelque sorte. décide aller entraîner salle sport coin, california gym. pass journée coûte 30 dinars. problème, paie. cependant, oublié bouteille eau boit eau robinet tunisie. renseigne possibilité acheter bouteille eau, oui, distributeur. faut pièce dinar bouteille, billet 20 dinars. demande monnaie réceptionniste. pas. promet ensuite renseigner auprès gérant dès disponible. demande laisser 20 dinars rapporter monnaie bouteille début cours. commence cours. fait très chaud. cours intense. climatisation salle, moins début. attends patiemment bouteille eau. quelques minutes plus tard, monsieur rend 20 dinars. monnaie. bouteille eau. continue entraînement, bien décidé tenir coup. quelques minutes plus tard, monsieur apporte belle grande bouteille eau fraîche professeur sport. va cette photo _question_ feriez _question_ tant client _question_ tant manager _question_",0
assez o2...,0
"belles machines technogym belle vue entraîneurs très professionnels, ignorent adhérents coaching privé toute attention filles, sourient seulement elles service restauration très mauvais",0
"professionnel tout, zéro accueil suivi entraînement, pseudo entraîneurs draguer filles occuper entraînement abonnés zéro zéro",0
"pire salle sport tous temps, équipe salle sport passant équipement bien sûr timing pire 10",0
"généralement bondé enfants. équipements limités odeur désagréable. trop cher qualité proposée. porte bien nom, tout.",0
"california gym décevant plusieurs raisons. salle petite constamment bondée, rend entraînement inconfortable. nombreuses machines panne, semble avoir aucune maintenance régulière. également mauvaise expérience nutritionniste, respecte rendez adopte attitude très désagréable envers clients. seul point positif honnêteté plusieurs reprises, oublié affaires place, toujours rendues.",0
pure arnaque... inscrit détendre remettre forme. abonnement mois 480 dinars. allé deux fois. pourquoi _question_ tous simplement 18h30 doit faire entre 10 15 minutes attente entre machines... parles détente. déconseille vivement.,0
"they never answer the phone _exclamation_ visited their physical location during working hours and they were closed _exclamation_ left note at the door, nobody called back. terrible management indeed and horrible customer service _exclamation_ _exclamation_ _exclamation_",0
mauvaise expérience malheureusement recommande gym. _emoji_pas_ok_,0
service personnel presque,0
"surfaite mourir, pire salle sport monde. sécurité. mauvais entraîneurs. mauvaises odeurs. mauvaises personnes. petite surface. recommande personne.",0
offusqué jai vu,0
"lorsque sollicité aide coach accompagner série exercices entrainement cependant, réponse encore échauffé aider. bravo qualité coach très professionnel _exclamation_",0
"eviter _exclamation_ parking payant, ascenseur plupart temps panne salle 7eme etage materiel musculation yeser ne9es contre barcha materiel fessiers _exclamation_ donne deux etoiles cours",0
mauvais service client,0
"bondé plupart temps, entraîneurs prennent peine aider tout quand voient faire mauvais mouvement, vraiment entraîneurs arrogants, continuent marcher sans rien faire.",0
"excellent acceuil, coachs occupent uniquement femmes. personnellement, payé abonnement année blue depuis 10 mois, uniquement fois... réclamations sans suite....",0
service null matériel non rangé machines défectueuses encombrante,0
"recommande cette salle sport accueil très mal organisé, 35dt séance _exclamation_ _exclamation_ _exclamation_ grave rapport service touutt ..",0
"assez déçu cette salle sport. air tape œil super propre. cependant, instructeurs cours mills niveau international. miroirs salles où déroulent cours. pénurie poids haltères moins kg. personnel masculin circule salle peu serviable peu aimable, presque impoli. faut errer salle trouver cherche, car rien jamais remis place. moyenne âge clientèle semble environ 18 ans gens regroupent groupes, comme boîte nuit après école ambiance immature peu professionnelle choix musical évoque aussi discothèque scolaire faudrait faire recherches plus approfondies trouver salle sport où jeunes professionnels marsa rendent après travail.",0
"espace bien entraîner trop petit, grand chose dire _exclamation_",0
acceuil triste limite déranger payer 15 jours deux 170dinars passage sousse jours 1er dernière fois fait jours très bien vu adepte rameur poser coin salle cela déranger point matin arrivant 9h coach dit sortir revenir demi heure sans chercher trouver simple solution moins sortir rameur mettre autre coin faire attendre coup leurs fait cadeaux 170 dinars dérangerais plus is choses origine maghrébine vivant france si situation passé blonds yeux bleues attendu seul seconde droit excuse _exclamation_ _exclamation_ _exclamation_,0
"entraîneurs professionnels, ignorent gens",0
demande combien temps ça prends réparer machine quads ça fait environ mois panne _exclamation_ _exclamation_ dérniérement machine papillon disparu quoi ça _exclamation_ _exclamation_ paie telle somme argents ça _exclamation_ vais renouveller abonnement vais changer salle groupe donc aller perdre adhérents.,0
"entraîneurs intérieur négligents, impolis parlent littéralement femmes, espace petit, peut sentir sueur tout monde, presque machines, presse jambes machine tirage latéral salle sport 200 dt mois, font passer tellement paperasse impression faire demande visa, aucun miroir devant machines donc pouvez vérifier formulaire, très encombré tout espace donné cours comme zumba cours spinning parce paient supplément, arnaque avide argent, propriétaire devrait avoir honte",0
"femme menage cheveux noirs matin tres tres derangeante, arrête parler abonnes plus surveille chacun fait, plus cela pose questions sans arret merci demander faire travail cad nettoyage faire connaissance collectz information role svp svp svp merci plus nois deranger pendant seanczs entraînement",0
"celui centre commercial zephyr bondé, manque équipements, personnel négligent, sale. plus, trop cher.",0
supplémentaire,0
"après 10 ans abonnements annuels successifs, participation événements, california gym décidé voler. payé abonnement annuel 3mois après tombée enceinte. présenté certificat medical où médecin explique droit faire sport. refusé ouvrir dit seule chose peuvent faire offrir mois gratuits retour. encore rien concret, juste promesse orale. donc gros proposent perdre 7mois payés. cerise gâteau, remplis formulaire réclamation, envoie mails, réponse. vraiment décevant, prend peine être reconnaissants clients fidèles vole. mettrai plus pieds.",0
"très déçue attitude personnel accueil california gym. hier soir, signalé avoir fait tomber clés cadenas vestiaire. matin, demandant si elles retrouvées équipe nettoyage, employée répond sèchement non sans aucune recherche. lorsque demande si vestiaires bien nettoyés matin, vexe répond haut fort bien sûr nettoyés, peut être jeté clés poubelle. quel service quel professionnalisme _exclamation_ aucune considération adhérents, aucune volonté aider. décevant salle sport censée offrir bonne expérience client. plus coupure eau _exclamation_ cerise gâteau",0
pires services gestion service client.,0
agit critique concernant tous studios fitness cg... pourquoi diable fermez si tôt pendant week end... clients paient service devrait être fourni 24h 24 7j moins cas pays modernes,0
incompétence totale accueil,0
presque blessé.,0
service client zero professionalisme accueil coachs responsable eviter,0
salle trop petite.,0
"venu faire visite lieux, personnes réception refusent entrée, minutes. service clientèle nulle.",0
